ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
03N,small_airport,Utirik Airport,"169.852005, 11.222",4,OC,MH,MH-UTI,Utirik Island,K03N,UTK,03N
07FA,small_airport,Ocean Reef Club Airport,"-80.274803161621, 25.325399398804",8,NA,US,US-FL,Key Largo,07FA,OCA,07FA
0AK,small_airport,Pilot Station Airport,"-162.899994, 61.934601",305,NA,US,US-AK,Pilot Station,,PQS,0AK
0CO2,small_airport,Buckhorn Ranch Airport,"-106.93282, 38.8518981934",8980,NA,US,US-CO,Crested Butte,0CO2,CSE,0CO2
0TE7,small_airport,LBJ Ranch Airport,"-98.62249755859999, 30.251800537100003",1515,NA,US,US-TX,Johnson City,0TE7,JCY,0TE7
13MA,small_airport,Metropolitan Airport,"-72.31140136719999, 42.223300933800004",418,NA,US,US-MA,Palmer,13MA,PMX,13MA
16A,small_airport,Nunapitchuk Airport,"-162.440454, 60.905591",12,NA,US,US-AK,Nunapitchuk,PPIT,NUP,16A
19AK,small_airport,Icy Bay Airport,"-141.662002563, 59.96900177",50,NA,US,US-AK,Icy Bay,19AK,ICY,19AK
1KC,small_airport,Kalakaket Creek AS Airport,"-156.820392609, 64.4166256967",1598,NA,US,US-AK,Kalakaket Creek,1KC,KKK,1KC
1O6,small_airport,Dunsmuir Muni-Mott Airport,"-122.272003, 41.263199",3258,NA,US,US-CA,Dunsmuir,KMHS,MHS,1O6
2AK,small_airport,Lime Village Airport,"-155.440002441, 61.3591003418",552,NA,US,US-AK,Lime Village,2AK,LVD,2AK
2AK6,small_airport,Hog River Airport,"-155.6690063, 66.2161026",534,NA,US,US-AK,Hogatza,2AK6,HGZ,2AK6
2IG4,small_airport,Ed-Air Airport,"-87.4997024536, 38.851398468",426,NA,US,US-IN,Oaktown,I20,OTN,I20
2K5,small_airport,Telida Airport,"-153.26899719238, 63.393901824951",650,NA,US,US-AK,Telida,2K5,TLF,2K5
2TE0,small_airport,Eagle Air Park,"-95.579696655273, 28.982200622559",15,NA,US,US-TX,Brazoria,2TE0,BZT,2TE0
38WA,small_airport,Blakely Island Airport,"-122.825996399, 48.578998565700005",66,NA,US,US-WA,Blakely Island,38WA,BYW,38WA
3AK5,small_airport,Drift River Airport,"-152.162002563, 60.588901519800004",30,NA,US,US-AK,Kenai,3AK5,DRF,3AK5
3IS8,small_airport,Rinkenberger Restricted Landing Area,"-89.61569976810001, 41.230899810800004",808,NA,US,US-IL,Bradford,3IS8,BDF,3IS8
3VS,small_airport,Roy Otten Memorial Airfield,"-92.875198364258, 38.427799224854",1030,NA,US,US-MO,Versailles,3VS,VRS,3VS
4A2,small_airport,Atmautluak Airport,"-162.272995, 60.866699",17,NA,US,US-AK,Atmautluak,,ATT,4A2
4AK,small_airport,Livengood Camp Airport,"-148.6534, 65.467",425,NA,US,US-AK,Livengood,4AK,LIV,4AK
4K0,small_airport,Pedro Bay Airport,"-154.12399292, 59.7896003723",45,NA,US,US-AK,Pedro Bay,4K0,PDB,4K0
4K5,small_airport,Ouzinkie Airport,"-152.496715, 57.925362",55,NA,US,US-AK,Ouzinkie,,KOZ,4K5
4KA,small_airport,Tununak Airport,"-165.27200317383, 60.575500488281",14,NA,US,US-AK,Tununak,4KA,TNK,4KA
5A8,medium_airport,Aleknagik / New Airport,"-158.617996216, 59.2826004028",66,NA,US,US-AK,Aleknagik,5A8,WKK,5A8
5NK,small_airport,Naknek Airport,"-157.02000427246, 58.732898712158",70,NA,US,US-AK,Naknek,5NK,NNK,5NK
65LA,small_airport,Southern Seaplane Airport,"-90.0222015381, 29.8661003113",,NA,US,US-LA,Belle Chasse,65LA,BCS,65LA
6OK6,small_airport,Earl Henry Airport,"-97.3170013428, 36.7958984375",1054,NA,US,US-OK,Blackwell,6OK6,BWL,6OK6
78WA,small_airport,Center Island Airport,"-122.832000732, 48.4901008606",115,NA,US,US-WA,Center Island,78WA,CWS,78WA
7KA,small_airport,Tatitlek Airport,"-146.690297, 60.871449",62,NA,US,US-AK,Tatitlek,PAKA,TEK,7KA
7NC2,small_airport,Pine Island Airport,"-75.7884979248, 36.2535018921",16,NA,US,US-NC,Corolla,7NC2,DUF,7NC2
7WA5,small_airport,Stuart Island Airpark,"-123.17600250244, 48.672901153564",10,NA,US,US-WA,Stuart Island,7WA5,SSW,7WA5
82CL,small_airport,Fort Bragg Airport,"-123.79599762, 39.4743003845",71,NA,US,US-CA,Fort Bragg,82CL,FOB,82CL
89NY,small_airport,Maxson Airfield,"-75.90034, 44.312002",340,NA,US,US-NY,Alexandria Bay,89NY,AXB,89NY
8XS8,small_airport,Reese Airpark,"-102.03700256348, 33.590301513672",3338,NA,US,US-TX,Lubbock,8XS8,REE,8XS8
90WA,small_airport,Waldronaire Airport,"-123.017997742, 48.7117996216",140,NA,US,US-WA,East Sound,90WA,WDN,90WA
9A3,small_airport,Chuathbaluk Airport,"-159.216003, 61.579102",244,NA,US,US-AK,Chuathbaluk,PACH,CHU,9A3
9A8,small_airport,Ugashik Airport,"-157.399002075, 57.5279006958",25,NA,US,US-AK,Ugashik,9A8,UGS,9A8
9Z8,small_airport,Levelock Airport,"-156.85899353, 59.128101348899996",39,NA,US,US-AK,Levelock,9Z8,KLL,9Z8
A61,small_airport,Tuntutuliak Airport,"-162.667007446, 60.3353004456",16,NA,US,US-AK,Tuntutuliak,A61,WTL,A61
A63,small_airport,Twin Hills Airport,"-160.27299499512, 59.07559967041",82,NA,US,US-AK,Twin Hills,A63,TWA,A63
A79,small_airport,Chignik Lake Airport,"-158.774993896, 56.2550010681",50,NA,US,US-AK,Chignik Lake,A79,KCQ,A79
AAD,small_airport,Adado Airport,"46.6375, 6.095802",1001,AF,SO,SO-GA,Adado,,AAD,
ABP,small_airport,Atkamba Airport,"141.095277778, -6.0655555555600005",150,OC,PG,PG-WPD,Atkamba Mission,,ABP,AKA
ADC,small_airport,Andakombe Airport,"145.744722222, -7.13722222222",3600,OC,PG,PG-EHG,Andekombe,AYAN,ADC,ADK
ADV,small_airport,El Daein Airport,"26.1186, 11.4023",1560,AF,SD,SD-DE,El Daein,,ADV,
AEE,small_airport,Adareil Airport,"32.9594444444, 10.0536111111",1301,AF,SS,SS-23,,,AEE,
AEK,small_airport,Aseki Airport,"146.19386673, -7.35080485552",4106,OC,PG,PG-MPL,Aseki,AYAX,AEK,ASE
AF10,small_airport,Orūzgān Airport,"66.630897522, 32.9029998779",6725,AS,AF,AF-ORU,Orūzgān,OARG,URZ,
AF11,small_airport,Salerno Landing Zone Airport,"69.9561004639, 33.363800048799995",3780,AS,AF,AF-PIA,,,OLR,
AFR,small_airport,Afore Airstrip,"148.390833333, -9.142222222220001",2500,OC,PG,PG-NPP,,AYAF,AFR,AFE
AGAF,small_airport,Afutara Aerodrome,"160.948611111, -9.19138888889",23,OC,SB,SB-ML,Bila,AGAF,AFT,
AGAR,small_airport,Ulawa Airport,"161.979546547, -9.86054358262",40,OC,SB,SB-MK,Arona,AGAR,RNA,
AGAT,small_airport,Uru Harbour Airport,"161.011002, -8.87333",,OC,SB,SB-ML,Atoifi,AGAT,ATD,
AGBA,small_airport,Barakoma Airport,"156.70599365234375, -7.912779808044434",,OC,SB,SB-WE,Barakoma,AGBA,VEV,
AGEV,small_airport,Geva Airport,"156.5970001220703, -7.575829982757568",,OC,SB,SB-WE,Liangia,AGEV,GEF,
AGG,small_airport,Angoram Airport,"144.073888889, -4.05583333333",75,OC,PG,PG-ESW,Angoram,,AGG,ANG
AGGA,small_airport,Auki Airport,"160.682006836, -8.70256996155",5,OC,SB,SB-ML,Auki,AGGA,AKS,
AGGB,small_airport,Bellona/Anua Airport,"159.798333333, -11.302222222200001",60,OC,SB,SB-RB,Anua,AGGB,BNY,
AGGC,small_airport,Choiseul Bay Airport,"156.396111, -6.711944",,OC,SB,SB-CH,,AGGC,CHY,
AGGE,small_airport,Ballalae Airport,"155.886656, -6.990745",5,OC,SB,SB-WE,Ballalae,AGGE,BAS,
AGGF,small_airport,Fera/Maringe Airport,"159.576996, -8.1075",,OC,SB,SB-IS,Fera Island,AGGF,FRE,
AGGH,medium_airport,Honiara International Airport,"160.05499267578, -9.4280004501343",28,OC,SB,SB-CT,Honiara,AGGH,HIR,
AGGI,small_airport,Babanakira Airport,"159.83900451660156, -9.7475004196167",,OC,SB,SB-GU,Mbambanakira,AGGI,MBU,
AGGJ,small_airport,Avu Avu Airport,"160.410555556, -9.86833333333",25,OC,SB,SB-GU,,AGGJ,AVU,
AGGK,small_airport,Ngorangora Airport,"161.897994995, -10.449700355500001",54,OC,SB,SB-MK,Kirakira,AGGK,IRA,
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,"165.7949981689453, -10.72029972076416",18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ,
AGGM,medium_airport,Munda Airport,"157.26300048828125, -8.327969551086426",10,OC,SB,SB-WE,,AGGM,MUA,
AGGN,small_airport,Nusatupe Airport,"156.863998413, -8.09778022766",13,OC,SB,SB-WE,Gizo,AGGN,GZO,
AGGO,small_airport,Mono Airport,"155.56500244140625, -7.416940212249756",,OC,SB,SB-WE,Stirling Island,AGGO,MNY,
AGGP,small_airport,Parasi Airport,"161.4250030517578, -9.641670227050781",,OC,SB,SB-ML,Parasi,AGGP,PRS,
AGGR,small_airport,Rennell/Tingoa Airport,"160.06300354003906, -11.533900260925293",,OC,SB,SB-RB,Rennell Island,AGGR,RNL,
AGGS,small_airport,Sege Airport,"157.87600708007812, -8.578889846801758",,OC,SB,SB-WE,Sege,AGGS,EGM,
AGGT,small_airport,Santa Ana Airport,"162.454108, -10.847994",3,OC,SB,SB-MK,Santa Ana Island,AGGT,NNB,
AGGU,small_airport,Marau Airport,"160.824996948, -9.861669540409999",,OC,SB,SB-GU,Marau,AGGU,RUS,
AGGV,small_airport,Suavanao Airport,"158.7310028076172, -7.585559844970703",,OC,SB,SB-IS,Suavanao,AGGV,VAO,
AGGY,small_airport,Yandina Airport,"159.21841, -9.092816",60,OC,SB,SB-CE,Yandina,AGGY,XYA,
AGK,small_airport,Kagua Airport,"143.853611111, -6.396388888890001",5350,OC,PG,PG-SHM,Kagua,,AGK,
AGKG,small_airport,Kaghau Airport,"157.585, -7.3305",30,OC,SB,SB-CH,Kagau Island,AGKG,KGE,
AGKU,small_airport,Kukudu Airport,"156.94783, -8.0262",32,OC,SB,SB-WE,Kolombangara Island,AGKU,KUE,
AGKW,small_airport,Kwailabesi Airport,"160.775127, -8.360508",52,OC,SB,SB-ML,Kwailabesi,AGKW,KWS,
AGL,small_airport,Wanigela Airport,"149.155555556, -9.3375",53,OC,PG,PG-NPP,,AYWG,AGL,WGL
AGNA,small_airport,Nana Airport,"162.2049, -10.6758",60,OC,SB,SB-MK,Star Harbor,AGNA,NAZ,
AGRC,small_airport,Ringi Cove Airport,"157.14300537109375, -8.12639045715332",,OC,SB,SB-WE,Ringi Cove,AGRC,RIN,
AGRM,small_airport,Ramata Airport,"157.64300537109375, -8.168060302734375",,OC,SB,SB-WE,Ramata,AGRM,RBV,
AGY,small_airport,Argyle Downs Airport,"128.9245, -16.514",407,OC,AU,AU-WA,Argyle Downs,,AGY,
AHJ,medium_airport,Hongyuan Airport,"102.35224, 32.53154",11600,AS,CN,CN-51,Aba,ZUHY,AHJ,
AHY,small_airport,Ambatolhy Airport,"45.535, -20.015833333299998",340,AF,MG,MG-U,Ambatolahy,,AHY,
AIE,small_airport,Aiome Airport,"144.7307003, -5.145699978",350,OC,PG,PG-MPM,Aiome,AYAO,AIE,AIO
AIH,small_airport,Aiambak Airport,"141.2675, -7.342777777779999",90,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AMB
AIP,small_airport,Ailinglaplap Airok Airport,"168.8257, 7.279422",16,OC,MH,MH-ALL,Bigatyelang Island,,AIC,
AK13,small_airport,Chena Hot Springs Airport,"-146.04699707, 65.0518035889",1195,NA,US,US-AK,Chena Hot Springs,AK13,CEX,AK13
AK26,small_airport,Solomon State Field,"-164.4457, 64.5605",25,NA,US,US-AK,Solomon,AK26,SOL,AK26
AK33,small_airport,Herendeen Bay Airport,"-160.899002075, 55.801399231",20,NA,US,US-AK,Herendeen Bay,AK33,HED,AK33
AK49,small_airport,Taylor Airport,"-164.798995972, 65.6792984009",440,NA,US,US-AK,Taylor,AK49,TWE,AK49
AK71,small_airport,Lonely Air Station,"-153.2420044, 70.91069794",17,NA,US,US-AK,Lonely,PALN,LNI,AK71
AK75,small_airport,Candle 2 Airport,"-161.925994873, 65.907699585",15,NA,US,US-AK,Candle,AK75,CDL,AK75
AK96,small_airport,Bartletts Airport,"-157.352005005, 58.2162017822",50,NA,US,US-AK,Egegik,AK96,BSZ,AK96
AK97,small_airport,Boswell Bay Airport,"-146.145996094, 60.4230995178",230,NA,US,US-AK,Boswell Bay,AK97,BSW,AK97
AKM,small_airport,Zakuoma Airport,"19.8172222222, 10.8902777778",1370,AF,TD,TD-SA,ZaKouma,,AKM,
AL73,small_airport,Sharpe Field,"-85.7755966187, 32.4919013977",253,NA,US,US-AL,Tuskegee,AL73,TGE,AL73
AMC,large_airport,Mar de Cortés International Airport,"-113.305864, 31.351621",71,NA,MX,MX-SON,Puerto Peñasco,MMPE,PPE,
AME,small_airport,Alto Molocue Airport,"37.6813888889, -15.6102777778",1950,AF,MZ,MZ-Q,Alto Molocue,,AME,
AMF,small_airport,Ama Airport,"141.67, -4.10111111111",145,OC,PG,PG-ESW,,AYAA,AMF,AMA
AMU,small_airport,Amanab Airport,"141.214333333, -3.586",1307,OC,PG,PG-SAN,Amanab,AYAM,AMU,ANA
AMY,small_airport,Ambatomainty Airport,"45.623888888900005, -17.6866666667",1025,AF,MG,MG-M,,,AMY,
ANYN,medium_airport,Nauru International Airport,"166.919006, -0.547458",22,OC,NR,NR-14,Yaren District,ANYN,INU,
ANZ,small_airport,Angus Downs Airport,"132.2748, -25.0325",1724,OC,AU,AU-NT,Angus Downs Station,,ANZ,
AO-0005,small_airport,Andulo Airport,"16.710899353, -11.472299575800001",,AF,AO,AO-BIE,,,ANL,
AO-CNZ,small_airport,Cangamba Airport,"19.861099, -13.7106",3894,AF,AO,AO-MOX,Cangamba,,CNZ,
AO-DRC,small_airport,Dirico Airport,"20.7680606842041, -17.981924057006836",3504,AF,AO,AO-CCU,Dirico,,DRC,
AO-GGC,small_airport,Lumbala Airport,"22.5868206024, -12.6398773193",3510,AF,AO,AO-MOX,Lumbala,,GGC,
AO-JMB,small_airport,Jamba Airport,"16.070148468017578, -14.698192596435547",4912,AF,AO,AO-HUA,Jamba,,JMB,
AO-KNP,small_airport,Capanda Airport,"15.4553194046, -9.76937007904",3366,AF,AO,AO-MAL,Capanda,FNCP,KNP,
AO-NDF,small_airport,Ndalatandos Airport,"14.977242469787598, -9.275188446044922",2684,AF,AO,AO-CNO,Ndalatandos,,NDF,
AOB,small_airport,Annanberg Airport,"144.635833333, -4.90416666667",130,OC,PG,PG-MPM,,,AOB,ANB
AOD,small_airport,Abou-Deïa Airport,"19.2874, 11.4773",1592,AF,TD,TD-SA,Abou-Deïa,,AOD,
APP,small_airport,Asapa Airport,"148.103611111, -8.97916666667",1930,OC,PG,PG-NPP,,,APP,APA
APR,small_airport,April River Airport,"142.540138889, -4.67666666667",220,OC,PG,PG-ESW,April River,AYPE,APR,APR
AQY,small_airport,Girdwood Airport,"-149.126007, 60.966099",150,NA,US,US-AK,Girdwood,,AQY,AQY
AR-0005,small_airport,Bragado Airport,"-60.4803, -35.144",196,SA,AR,AR-B,Bragado,,QRF,BRA
AR-0007,small_airport,Caleta Olivia Airport,"-67.5186004639, -46.4318008423",37,SA,AR,AR-Z,Caleta Olivia,,CVI,CAO
AR-0009,small_airport,Charata Airport,"-61.2103, -27.2164",318,SA,AR,AR-H,Charata,,CNT,CHA
AR-0010,small_airport,General Villegas Airport,"-63, -35",383,SA,AR,AR-B,General Villegas,,VGS,GAS
AR-0011,small_airport,Los Menucos Airport,"-68.074699, -40.817699",2571,SA,AR,AR-R,Los Menucos,,LMD,MCO
AR-0017,small_airport,Valcheta Airport,"-66.1500015259, -40.7000007629",629,SA,AR,AR-R,Valcheta,,VCF,VAL
AR-0254,small_airport,El Mirador,"-59.585278, -34.538887",167,SA,AR,AR-B,San Andres de Giles,,,LAD2230
AR-0294,small_airport,LAD 2198 Juan Jose Angelini,"-59.480278, -34.426945",164,SA,AR,AR-B,San Andres de Giles,,,LAD2198
AR-0346,small_airport,Sunchales Aeroclub Airport,"-61.5283, -30.9575",311,SA,AR,AR-S,Sunchales,SAFS,NCJ,SCA
AR-0390,small_airport,Carmen De Patagones Airport,"-62.9803, -40.7781",131,SA,AR,AR-B,Carmen de Patagones,,CPG,PAT
AR-0462,small_airport,Termal Airport,"-60.492222, -26.753611",308,SA,AR,AR-H,Presidencia Roque Sáenz Peña,SARS,PRQ,PSP
AR-0494,small_airport,Colonia Sarmiento Airport,"-68.999841, -45.582371",877,SA,AR,AR-U,Sarmiento,,OLN,STO
ARP,small_airport,Aragip Airport,"149.483333333, -9.88333333333",1750,OC,PG,PG-MBA,,,ARP,AGP
AS-TAV,small_airport,Tau Airport,"-169.511001587, -14.2292003632",185,OC,AS,AS-U-A,Tau Village,,TAV,HI36
ASZ,small_airport,Asirim Airport,"150.368611111, -6.009722222220001",1050,OC,PG,PG-WBK,,,ASZ,ASM
ATN,small_airport,Namatanai Airport,"152.438, -3.6695",150,OC,PG,PG-NIK,Namatanai,AYNX,ATN,NTI
ATP,small_airport,Aitape Airport,"142.346805556, -3.1436111111100002",10,OC,PG,PG-SAN,Aitape,AYAI,ATP,APE
AU-0081,small_airport,Lady Elliot Island Airstrip,"152.7156, -24.1129",20,OC,AU,AU-QLD,Lady Elliot Island,,LYT,
AU-AGW,small_airport,Agnew Airport,"142.1490020751953, -12.145600318908691",,OC,AU,AU-QLD,Agnew,,AGW,
AU-AYD,small_airport,Alroy Downs Airport,"136.07899475097656, -19.290800094604492",,OC,AU,AU-NT,Alroy Downs,,AYD,
AU-BYX,small_airport,Baniyala Airport,"136.227005005, -13.19810009",20,OC,AU,AU-NT,Baniyala,,BYX,
AU-COB,small_airport,Coolibah Airport,"130.96200561523438, -15.548299789428711",,OC,AU,AU-NT,Coolibah,,COB,
AU-CRJ,small_airport,Coorabie Airport,"132.29600524902344, -31.894399642944336",,OC,AU,AU-SA,Coorabie,,CRJ,
AU-CRY,small_airport,Carlton Hill Airport,"128.53399658203125, -15.501899719238281",,OC,AU,AU-WA,Carlton Hill,,CRY,
AU-CSD,small_airport,Cresswell Downs Airport,"135.91600036621094, -17.947999954223633",,OC,AU,AU-NT,Cresswell Downs,,CSD,
AU-DYM,small_airport,Diamantina Lakes Airport,"141.14500427246094, -23.761699676513672",,OC,AU,AU-QLD,Diamantina Lakes,,DYM,
AU-HLV,small_airport,Helenvale Airport,"145.21499633789062, -15.685799598693848",,OC,AU,AU-QLD,Helenvale,,HLV,
AU-KBD,small_airport,Kimberley Downs Airport,"124.3550033569336, -17.39780044555664",,OC,AU,AU-WA,Kimberley Downs,,KBD,
AU-KGR,small_airport,Kulgera Airport,"133.29200744628906, -25.84280014038086",,OC,AU,AU-NT,Kulgera,,KGR,
AU-MWY,small_airport,Miranda Downs Airport,"141.886002, -17.328899",,OC,AU,AU-QLD,Miranda Downs,YMIR,MWY,
AU-MYO,small_airport,Camballin Airport,"124.27200317382812, -18.12470054626465",,OC,AU,AU-WA,Myroodah,,MYO,
AU-OKB,small_airport,Orchid Beach Airport,"153.31500244141, -24.959400177002",71,OC,AU,AU-QLD,Orchid Beach,YORC,OKB,YORC
AU-PEP,small_airport,Peppimenarti Airport,"130.091003418, -14.144200325",83,OC,AU,AU-NT,Peppimenarti,,PEP,YPEP
AU-RDA,small_airport,Rockhampton Downs Airport,"135.2010040283203, -18.95330047607422",,OC,AU,AU-NT,Rockhampton Downs,,RDA,
AU-SSK,small_airport,Sturt Creek Airport,"128.1739959716797, -19.166400909423828",,OC,AU,AU-WA,Sturt Creek,,SSK,
AU-SWB,small_airport,Shaw River Airport,"119.36199951171875, -21.510299682617188",,OC,AU,AU-WA,Shaw River,,SWB,
AU-TPR,small_airport,Tom Price Airport,"117.869003296, -22.746000289900003",2300,OC,AU,AU-WA,Tom Price,YTMP,TPR,
AU-TWP,small_airport,Torwood Airport,"143.75, -17.363300323486328",,OC,AU,AU-QLD,Torwood,,TWP,
AU-ZVG,small_airport,Springvale Airport,"127.66999816894531, -17.78689956665039",,OC,AU,AU-WA,Springvale,,ZVG,
AUI,small_airport,Aua Island Airport,"143.064722222, -1.46055555556",4,OC,PG,PG-MRL,Aua Island,AYND,AUI,AUA
AUJ,small_airport,Ambunti Airport,"142.823166667, -4.21566666667",50,OC,PG,PG-ESW,Ambunti,AYAT,AUJ,AMI
AUP,small_airport,Agaun Airport,"149.385667, -9.930833",3200,OC,PG,PG-MBA,,AYAG,AUP,AUN
AUV,small_airport,Aumo Airport,"148.445277778, -5.731111111110001",450,OC,PG,PG-WBK,Aumo,AYUM,AUV,AUMO
AWE,small_airport,Alowe Airport,"9.444, -0.545",600,AF,GA,GA-3,Wonga Wongué Presidential Reserve,FOGW,AWE,
AXF,small_airport,Alxa Left Banner-Bayanhot Airport,"105.626, 38.8241",4806,AS,CN,CN-15,Bayanhot,,AXF,
AYAQ,small_airport,Kompiam Airport,"143.924722222, -5.38166666667",5100,OC,PG,PG-EPW,,AYAQ,KPM,KOM
AYBK,medium_airport,Buka Airport,"154.67300415039062, -5.4223198890686035",11,OC,PG,PG-NSB,Buka Island,AYBK,BUA,
AYBR,small_airport,Biaru Airport,"146.7594, -7.6693",4900,OC,PG,PG-MPL,Biaru,AYBR,BRP,BRU
AYCH,medium_airport,Chimbu Airport,"144.9709930419922, -6.024290084838867",4974,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,
AYDK,small_airport,Munduku Airport,"143.4516, -4.6204",100,OC,PG,PG-ESW,Munduku,AYDK,MDM,MUN
AYDL,small_airport,Kondobol Airport,"142.5049, -8.5336",132,OC,PG,PG-WPD,Kondobol,AYDL,KPF,KDB
AYDN,small_airport,Dinangat Airport,"146.6772, -6.1546",5309,OC,PG,PG-MPL,Dinangat,AYDN,DNU,DIN
AYDO,small_airport,Doini Airport,"150.7218, -10.7009",31,OC,PG,PG-MBA,Castori Islets,AYDO,DOI,DOI
AYDU,medium_airport,Daru Airport,"143.207992554, -9.08675956726",20,OC,PG,PG-WPD,Daru,AYDU,DAU,
AYEB,small_airport,Embessa Airport,"148.7628, -9.447",131,OC,PG,PG-NPP,Embessa,AYEB,EMS,EMB
AYED,small_airport,Edwaki Airport,"141.792234, -3.883986",190,OC,PG,PG-SAN,Yellow River Mission,AYED,XYR,EWK
AYEL,small_airport,Eliptamin Airport,"141.6779, -5.0412",4825,OC,PG,PG-SAN,Eliptamin,AYEL,EPT,ELP
AYEN,small_airport,Engati Airstrip,"146.1053, -6.9179",3715,OC,PG,PG-MPL,Engati,AYEN,EGA,EGT
AYEO,small_airport,Emo River Airstrip,"148.0415, -9.1234",2240,OC,PG,PG-NPP,Emo Mission,AYEO,EMO,EMO
AYER,small_airport,Erume Airport,"146.9747, -8.2538",6690,OC,PG,PG-CPM,Erume,AYER,ERU,EME
AYES,small_airport,Meselia Airport,"149.1183, -6.1364",180,OC,PG,PG-WBK,Demgulu,AYES,MFZ,
AYFE,small_airport,Feramin Airport,"141.6988, -5.208",4655,OC,PG,PG-SAN,Feramin,AYFE,FRQ,FMN
AYFR,small_airport,Frieda River Airport,"141.960138, -4.610468",217,OC,PG,PG-ESW,Frieda River,AYFR,FAQ,FRR
AYFU,small_airport,Fuma Airport,"142.4408, -6.3933",466,OC,PG,PG-WPD,Fuma,AYFU,FUM,FUMA
AYGA,medium_airport,Goroka Airport,"145.391998291, -6.081689834590001",5282,OC,PG,PG-EHG,Goronka,AYGA,GKA,
AYGF,small_airport,Guari Airport,"146.8722, -8.1286",6450,OC,PG,PG-CPM,Guari,AYGF,GUG,GAI
AYGG,small_airport,Garasa Airport,"147.213461, -7.980713",2539,OC,PG,PG-MPL,Au,AYGG,GRL,GSA
AYGN,medium_airport,Gurney Airport,"150.333999634, -10.3114995956",88,OC,PG,PG-MBA,Gurney,AYGN,GUR,
AYGP,small_airport,Gusap Airport,"145.959047, -6.053196",1504,OC,PG,PG-GPK,Gusap,AYGP,GAP,GSP
AYGR,medium_airport,Girua Airport,"148.309005737, -8.80453968048",311,OC,PG,PG-NPP,Popondetta,AYGR,PNP,
AYGS,small_airport,Gasuke Airport,"141.7393, -6.1028",157,OC,PG,PG-WPD,Gasuke,AYGS,GBC,GSK
AYHB,small_airport,Habi Airport,"142.4893, -6.32",993,OC,PG,PG-WPD,Habi,AYHB,HBD,HABI
AYHE,small_airport,Heiweni Airport,"146.4276, -7.4223",3480,OC,PG,PG-MPL,Heiweni,AYHE,HNI,HWI
AYHH,small_airport,Honinabi Airport,"142.1771, -16.2457",452,OC,PG,PG-WPD,Honinabi,AYHH,HNN,HBI
AYHK,medium_airport,Kimbe Airport,"150.40499877929688, -5.462170124053955",66,OC,PG,PG-WBK,Hoskins,AYHK,HKN,
AYHO,small_airport,Haivaro Airport,"143.059, -6.9406",180,OC,PG,PG-GPK,Haivaro,AYHO,HIT,HWO
AYII,small_airport,Imane Airport,"146.1072, -6.7524",3860,OC,PG,PG-MPL,Imane,AYII,IMN,IMN
AYIM,small_airport,Kungim Airport,"141.03, -5.671",349,OC,PG,PG-WPD,Kungim,AYIM,KGM,KNM
AYIO,small_airport,Imonda Airport,"141.1573, -3.328",990,OC,PG,PG-SAN,Imonda,AYIO,IMD,IMO
AYIU,small_airport,Ialibu Airport,"143.9944, -6.2782",6736,OC,PG,PG-SHM,Ialibu,AYIU,IAL,IBU
AYIX,small_airport,Witu Airport,"149.440112, -4.689522",25,OC,PG,PG-WBK,Garove Island,AYIX,WIU,WITU
AYJO,small_airport,Yongai Airport,"147.4603, -8.5289",6500,OC,PG,PG-CPM,Yongai,AYJO,KGH,YON
AYKA,small_airport,Losuia Airport,"151.08099365234375, -8.505820274353027",27,OC,PG,PG-MBA,Losuia,AYKA,LSA,
AYKG,small_airport,Kopiago Airport,"142.4977, -5.3883",4445,OC,PG,PG-HE,Kopiago,AYKG,KPA,KGO
AYKI,small_airport,Kiunga Airport,"141.28199768066406, -6.1257100105285645",88,OC,PG,PG-WPD,Kiunga,AYKI,UNG,
AYKJ,small_airport,Kanainj Airport,"144.7072, -5.2903",4064,OC,PG,PG-MPM,Kanainj,AYKJ,KNE,KNJ
AYKK,small_airport,Kikori Airport,"144.2500762939453, -7.424379825592041",50,OC,PG,PG-GPK,Kikori,AYKK,KRI,
AYKM,medium_airport,Kerema Airport,"145.770996094, -7.96361017227",10,OC,PG,PG-GPK,Kerema,AYKM,KMA,
AYKR,small_airport,Kar Kar Airport,"145.9404, -4.557",130,OC,PG,PG-MPM,Kar Kar Island,AYKR,KRX,KKR
AYKT,small_airport,Kieta Airport,"155.728138889, -6.30541666667",20,OC,PG,PG-NSB,Kieta,AYIQ,KIE,KIA
AYKU,small_airport,Kuri Airport,"143.276111, -7.135083",35,OC,PG,PG-GPK,Kuri,AYKU,KUQ,KURI
AYKV,medium_airport,Kavieng Airport,"150.807998657, -2.57940006256",7,OC,PG,PG-NIK,Kavieng,AYKV,KVG,
AYKY,small_airport,Londolovit Airport,"152.628997803, -3.04361009598",167,OC,PG,PG-NIK,Londolovit,AYKY,LNV,
AYLB,small_airport,Lab Lab Airport,"148.0566, -5.7204",160,OC,PG,PG-MPL,Lab Lab Mission,AYLB,LAB,LAB
AYLO,small_airport,Lowai Airport,"146.6458, -6.3344",2900,OC,PG,PG-MPL,Lowai,AYLO,LWI,LOW
